WorldRank,Company,Country,Industry
1,VOLKSWAGEN,Germany,Automobiles & Parts
2,ALPHABET,US,Software & Computer Services
3,MICROSOFT,US,Software & Computer Services
4,SAMSUNG ELECTRONICS,South Korea,Electronic & Electrical Equipment
5,INTEL,US,Technology Hardware & Equipment
6,HUAWEI,China,Technology Hardware & Equipment
7,APPLE,US,Technology Hardware & Equipment
8,ROCHE,Switzerland,Pharmaceuticals & Biotechnology
9,JOHNSON & JOHNSON,US,Pharmaceuticals & Biotechnology
10,NOVARTIS,Switzerland,Pharmaceuticals & Biotechnology
11,GENERAL MOTORS,US,Automobiles & Parts
12,DAIMLER,Germany,Automobiles & Parts
13,TOYOTA MOTOR,Japan,Automobiles & Parts
14,PFIZER,US,Pharmaceuticals & Biotechnology
15,FORD MOTOR,US,Automobiles & Parts
16,MERCK US,US,Pharmaceuticals & Biotechnology
17,ORACLE,US,Software & Computer Services
18,CISCO SYSTEMS,US,Technology Hardware & Equipment
19,FACEBOOK,US,Software & Computer Services
20,ROBERT BOSCH,Germany,Automobiles & Parts
21,HONDA MOTOR,Japan,Automobiles & Parts
22,ASTRAZENECA,UK,Pharmaceuticals & Biotechnology
23,BMW,Germany,Automobiles & Parts
24,SANOFI,France,Pharmaceuticals & Biotechnology
25,SIEMENS,Germany,Electronic & Electrical Equipment
26,IBM,US,Software & Computer Services
27,NOKIA,Finland,Technology Hardware & Equipment
28,QUALCOMM,US,Technology Hardware & Equipment
29,BAYER,Germany,Pharmaceuticals & Biotechnology
30,BRISTOL-MYERS SQUIBB,US,Pharmaceuticals & Biotechnology
31,GENERAL ELECTRIC,US,General Industrials
32,GILEAD SCIENCES,US,Pharmaceuticals & Biotechnology
33,CELGENE,US,Pharmaceuticals & Biotechnology
34,FIAT CHRYSLER AUTOMOBILES,Netherlands,Automobiles & Parts
35,ELI LILLY,US,Pharmaceuticals & Biotechnology
36,BOEING,US,Aerospace & Defence
37,NISSAN MOTOR,Japan,Automobiles & Parts
38,GLAXOSMITHKLINE,UK,Pharmaceuticals & Biotechnology
39,ABBVIE,US,Pharmaceuticals & Biotechnology
40,PANASONIC,Japan,Leisure Goods
41,SONY,Japan,Leisure Goods
42,AMGEN,US,Pharmaceuticals & Biotechnology
43,DENSO,Japan,Automobiles & Parts
44,ERICSSON,Sweden,Technology Hardware & Equipment
45,AIRBUS,Netherlands,Aerospace & Defence
46,BOEHRINGER SOHN,Germany,Pharmaceuticals & Biotechnology
47,SAP,Germany,Software & Computer Services
48,CONTINENTAL,Germany,Automobiles & Parts
49,TAKEDA PHARMACEUTICAL,Japan,Pharmaceuticals & Biotechnology
50,LG ELECTRONICS,South Korea,Leisure Goods
51,DELL TECHNOLOGIES,US,Technology Hardware & Equipment
52,RENAULT,France,Automobiles & Parts
53,ALLERGAN,Ireland,Pharmaceuticals & Biotechnology
54,HITACHI,Japan,Electronic & Electrical Equipment
55,BROADCOM,Singapore,Technology Hardware & Equipment
56,CANON,Japan,Technology Hardware & Equipment
57,TOSHIBA,Japan,General Industrials
58,ALIBABA GROUP HOLDING,China,General Retailers
59,WESTERN DIGITAL,US,Technology Hardware & Equipment
60,PEUGEOT (PSA),France,Automobiles & Parts
61,UNITED TECHNOLOGIES,US,Aerospace & Defence
62,HEWLETT PACKARD ENTERPRISE,US,Technology Hardware & Equipment
63,TAIWAN SEMICONDUCTOR,Taiwan,Technology Hardware & Equipment
64,MEDTRONIC PUBLIC LIMITED,Ireland,Health Care Equipment & Services
65,HONEYWELL,US,General Industrials
66,PHILIPS,Netherlands,General Industrials
67,NOVO NORDISK,Denmark,Pharmaceuticals & Biotechnology
68,MERCK DE,Germany,Pharmaceuticals & Biotechnology
69,ZF,Germany,Automobiles & Parts
70,ZTE,China,Technology Hardware & Equipment
71,NESTLE,Switzerland,Food Producers
72,CATERPILLAR,US,Industrial Engineering
73,VOLVO,Sweden,Industrial Engineering
74,BIOGEN,US,Pharmaceuticals & Biotechnology
75,BASF,Germany,Chemicals
76,PROCTER & GAMBLE,US,Household Goods & Home Construction
77,HYUNDAI MOTOR,South Korea,Automobiles & Parts
78,TELECOM ITALIA,Italy,Fixed Line Telecommunications
79,DAIICHI SANKYO,Japan,Pharmaceuticals & Biotechnology
80,BANCO SANTANDER,Spain,Banks
81,NTT,Japan,Fixed Line Telecommunications
82,ASTELLAS PHARMA,Japan,Pharmaceuticals & Biotechnology
83,SK HYNIX,South Korea,Technology Hardware & Equipment
84,MEDIATEK,Taiwan,Technology Hardware & Equipment
85,TENCENT,China,Software & Computer Services
86,TEVA PHARMACEUTICAL INDUSTRIES,Israel,Pharmaceuticals & Biotechnology
87,AT&T,US,Fixed Line Telecommunications
88,DUPONT,US,Chemicals
89,MICRON TECHNOLOGY,US,Technology Hardware & Equipment
90,PETROCHINA,China,Oil & Gas Producers
91,TATA MOTORS,India,Automobiles & Parts
92,DOW CHEMICAL,US,Chemicals
93,MITSUBISHI ELECTRIC,Japan,Electronic & Electrical Equipment
94,HON HAI PRECISION INDUSTRY,Taiwan,Electronic & Electrical Equipment
95,DEUTSCHE BANK,Germany,Banks
96,APPLIED MATERIALS,US,Technology Hardware & Equipment
97,CHINA STATE CONSTRUCTION ENGINEERING,China,Construction & Materials
98,NXP SEMICONDUCTORS,Netherlands,Technology Hardware & Equipment
99,MONSANTO,US,Chemicals
100,CHINA RAILWAY,China,Construction & Materials
101,FUJITSU,Japan,Software & Computer Services
102,BOMBARDIER,Canada,Aerospace & Defence
103,BAIDU,China,Software & Computer Services
104,NVIDIA,US,Technology Hardware & Equipment
105,OTSUKA,Japan,Pharmaceuticals & Biotechnology
106,AISIN SEIKI,Japan,Automobiles & Parts
107,LEONARDO,Italy,Aerospace & Defence
108,ABBOTT LABORATORIES,US,Pharmaceuticals & Biotechnology
109,SHIRE,UK,Pharmaceuticals & Biotechnology
110,SYNGENTA,Switzerland,Chemicals
111,CRRC CHINA,China,Industrial Engineering
112,DEERE,US,Industrial Engineering
113,FUJIFILM,Japan,Electronic & Electrical Equipment
114,TEXAS INSTRUMENTS,US,Technology Hardware & Equipment
115,CHINA RAILWAY CONSTRUCTION,China,Construction & Materials
116,SAIC MOTOR,China,Automobiles & Parts
117,SUMITOMO CHEMICAL,Japan,Chemicals
118,ABB,Switzerland,Industrial Engineering
119,STMICROELECTRONICS,Netherlands,Technology Hardware & Equipment
120,KIA MOTORS,South Korea,Automobiles & Parts
121,LENOVO,China,Technology Hardware & Equipment
122,EBAY,US,General Retailers
123,SEAGATE TECHNOLOGY,Ireland,Technology Hardware & Equipment
124,3M,US,General Industrials
125,SALESFORCE.COM,US,Software & Computer Services
126,HP,US,Technology Hardware & Equipment
127,VALEO,France,Automobiles & Parts
128,DELPHI,UK,Automobiles & Parts
129,PAYPAL,US,Financial Services
130,BARCLAYS,UK,Banks
131,ELECTRONIC ARTS,US,Software & Computer Services
132,DANAHER,US,Electronic & Electrical Equipment
133,CHINA COMMUNICATIONS CONSTRUCTION,China,Construction & Materials
134,INTUIT,US,Software & Computer Services
135,SUZUKI MOTOR,Japan,Automobiles & Parts
136,CTRIP.COM INTERNATIONAL,China,Travel & Leisure
137,MAZDA MOTOR,Japan,Automobiles & Parts
138,ASML HOLDING,Netherlands,Technology Hardware & Equipment
139,MITSUBISHI CHEMICAL,Japan,Chemicals
140,ALTABA,US,Software & Computer Services
141,ROLLS-ROYCE,UK,Aerospace & Defence
142,VERTEX PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology
143,EXXON MOBIL,US,Oil & Gas Producers
144,TOTAL,France,Oil & Gas Producers
145,UNILEVER,UK,Food Producers
146,SAFRAN,France,Aerospace & Defence
147,UCB,Belgium,Pharmaceuticals & Biotechnology
148,ROYAL DUTCH SHELL,UK,Oil & Gas Producers
149,LAM RESEARCH,US,Technology Hardware & Equipment
150,SCHLUMBERGER,US,"Oil Equipment, Services & Distribution"
151,ADVANCED MICRO DEVICES,US,Technology Hardware & Equipment
152,JUNIPER NETWORKS,US,Technology Hardware & Equipment
